Club,Last_name,First_name,Playing_Position,Base_salary,Guaranteed_Comp,Reporting_date
Vancouver Whitecaps,Abdallah,Aminu,M,46500.00,46500.00,2013-09-15
Chicago Fire,Amarikwa,Quincy,F,46500.00,46500.00,2013-09-15
Real Salt Lake,Alvarez,Yordany,M,46500.00,46500.00,2013-09-15
Columbus Crew,Anor,Bernardo,M,46500.00,46500.00,2013-09-15
Real Salt Lake,Attinella,Jeff,GK,46500.00,46500.00,2013-09-15
Chicago Fire,Barouch,Orr,F,46500.00,46500.00,2013-09-15
Columbus Crew,Barson,Chad,D,46500.00,46500.00,2013-09-15
Toronto FC,Bendik,Joe,GK,46500.00,46500.00,2013-09-15
Sporting Kansas City,Bessone,Federico,D,46500.00,46500.00,2013-09-15
Toronto FC,Bloom,Mark,D,46500.00,46500.00,2013-09-15
Chivas USA,Borja,Carlos,D,46500.00,46500.00,2013-09-15
Montreal Impact,Bush,Evan,GK,46500.00,46500.00,2013-09-15
New York Red Bulls,Bustamante,Michael,M-D,46500.00,46500.00,2013-09-15
Houston Dynamo,Carrasco,Servando,M,46500.00,46500.00,2013-09-15
Seattle Sounders FC,Caskey,Alex,M,46500.00,46500.00,2013-09-15
Colorado Rapids,Castrillon,Jaime,M,46500.00,46500.00,2013-09-15
New York Red Bulls,Christianson,Ian,M,46500.00,46500.00,2013-09-15
Vancouver Whitecaps,Clarke,Caleb,F,46500.00,46500.00,2013-09-15
LA Galaxy,Courtois,Laurent,M,46500.00,46500.00,2013-09-15
Houston Dynamo,Creavalle,Warren,D,46500.00,46500.00,2013-09-15
DC United,Doyle,Conor,F,46500.00,46500.00,2013-09-15
DC United,Dykstra,Andrew,GK,46500.00,46500.00,2013-09-15
Philadelphia Union,Ekra,Yann,F,46500.00,46500.00,2013-09-15
Portland Timbers,Evans,Steven,M,46500.00,46500.00,2013-09-15
Chivas USA,Fondy,Matthew,F,46500.00,46500.00,2013-09-15
Seattle Sounders FC,Ford,Josh,GK,46500.00,46500.00,2013-09-15
Chicago Fire,Francis,Shaun,D,46500.00,46500.00,2013-09-15
Philadelphia Union,Gaddis,Raymon,D,46500.00,46500.00,2013-09-15
LA Galaxy,Garcia,Rafael,M,46500.00,46500.00,2013-09-15
LA Galaxy,Gaul,Bryan,F,46500.00,46500.00,2013-09-15
Columbus Crew,Gehrig,Eric,M,46500.00,46500.00,2013-09-15
Columbus Crew,George,Kevan,M,46500.00,46500.00,2013-09-15
Real Salt Lake,Grossman,Cole,M,46500.00,46500.00,2013-09-15
